Name,Website,Description,Logo,Address
Alliance Bernstein Investment Research and Management (India) Private Limited,https://www.alliancebernstein.com/,Research Driven Investment,https://www.alliancebernstein.com/abcom/Web/Resources/images/branding/monogram_glp.jpg,"Windsor, 6th Floor, 604, Off. C. S. T. Road, Santacruz East, Mumbai"
Barclays Capital,http://www.barcap.com/,"Barclays moves, lends, invests and protects money for 48 million customers and clients worldwide.",http://www.barclays.com/content/dam/barclayspublic/images/Site%20wide/Barclays%20logo/logo.png,"801 - 808, Ceejay House, Shivsagar Estate,Dr. Annie Besant Road, Worli, Mumbai "
Capital Group,http://www.thecapitalgroup.com,"Since 1931, Capital Group has been singularly focused on delivering superior, consistent results for long-term investors using high-conviction portfolios, rigorous research and individual accountability.",https://www.thecapitalgroup.com/content/dam/thecapitalgroup/images/common/CG_Color_Logo_RGB.png,"3rd floor, Unit 2 Vibgyor Tower Block G, Plot C62 Bandra Kurla Complex, Bandra (East) Mumbai"
Larsen &  Toubro Mutual Fund,https://www.lntmf.com,L&T - one of the most widely-held listed companies with an uninterrupted dividend paying record since 1946 - is both a household name in the country and a global infrastructure giant.,http://www.lntmf.com/images/LnTMF-Logo.gif,"309, 3rd Floor, Trade Centre, Bandra - Kurla Complex, Bandra East, Mumbai"
Tata Investment Corporation,http://tatainvestment.com/,"Tata Investment Corporation Limited (TICL) is a non-banking financial company. Earlier named The Investment Corporation of India, the company is primarily involved in investing in long-term investments such as equity shares and equity-related securities.",http://tatainvestment.com/images/TATA_logo.jpg,"Elphinstone Building, 10, Veer Nariman Road, Mumbai"
Toss Financial Services Private Limited,http://www.tossfinance.com/,"Promoted by a group of highly experienced and astute Finance Professionals, regulated by the Ministry of Finance through the Securities & Exchange Board of India, M/s. Toss Financial Services Private Limited, is a accredited Corporate Member of India’s leading Stock Exchange, The National Stock Exchange of India Limited. ",http://www.tossfinance.com/gif/new-toss-logo.gif,"44, Bank Street, Khatau Building, 1st Floor, Fort, Mumbai"
DPR Capital,http://dprcapital.com/,"DPR Capital is a Boutique Corporate Finance Advisory firm based out of Mumbai (India), offering integrated solutions in Corporate Finance and Strategic Business Consulting landscape to Indian business houses and multinational corporations.",http://dprcapital.com/images/logo.jpg,"903, 9th Floor, Navjivan Commercial Premises, Building No- 3, Lamington Road, Mumbai"
Salvus Capital Advisors Private Limited,http://www.salvuscapital.com/i,"Salvus is a financial services firm that provides tailor-made financial and strategic solutions to its clients. Salvus works with start-ups, early stage and established companies that have the desire to grow.",http://www.salvuscapital.com/images/logo.jpg,"Gool Mansion, 6 Homji Street, Fort, Mumbai"
Capita Advisors,http://www.capitaadvisors.co.in/,"Capita is promoted by young, energetic, dynamic, qualified & experienced professionals having vast and varied experience of more than seven years in rendering services especially in relation to Corporate Project Financing.",http://www.capitaadvisors.co.in/images/logo.jpg,"Hegde house, above Malwan hotel, Carter Rd. No. 6 Opp. Charwak Hotel, M.G. Rd, Borivali East, Mumbai"
A.K Financial Services,http://www.akcapindia.com/,A.K. Capital Services Ltd. is the country’s leading SEBI registered Category-I Merchant Banker. ,http://www.akcapindia.com/images/akcaplogo.jpg,"30-39, Free Press House, 3rd Floor, Free Press Journal Marg, Nariman Point, Mumbai"
Bizzlon Financial Services Private Limited,http://www.bizzlon.com/,"Fulfilling your financing needs at different stages of your business life-cycle. We don't merely keep pace, but anticipate the future.",http://www.bizzlon.com/images/Logo-Design-2.png,"416, Palm Spring 3 Near Infinity Mall Malad Link Road Malad West, Mumbai"
Attainix Consulting,http://www.attainix.com/,The premier provider of Intellectual Capital discovery and associated services.,http://www.attainix.com/images/AttainixLogoSansTag.jpg,"A/602, Magnolia Enclave, Nahar Amrit Shakti, Chandivili Andheri East, Mumbai"
Arthmudra,http://arthmudra.com/,"ARTHMUDRA is a brand under which Rajesh Koundinya has brought together a team of independent professionals with specializations in the field of Corporate Finance, Investment Banking, Infrastructure, Real Estate etc., to work as associates.",http://arthmudra.com/yahoo_site_admin/assets/images/ARTHMUDRA_LOGO_Vipul.202195102.jpg,"No. 202, Ornate Galaxy, No. 774, Parsee Colony Tilak Road, Dadar, Mumbai"
Muleshwar Finances,http://mfservices.in/,"Our vision is to create an identity of MFS in the world as a second name to reliability, commitment and a class-apart organisation of perfectionists in the field of investment banking & corporate financial advisory.",http://mfservices.in/images/logo1.jpg,"No. 62-64, Dadi Sheth, Agiary Lane Vrandavan Building, 2nd Floor, Mumbai"
Interocean Ventures,http://www.interoceanventures.com/,"A financial powerhouse! That’s what Interocean Is! Inter Ocean is a solution-driven, pragmatic business financial consulting firm that is committed to the three planks of quality, responsiveness and client commitment.",http://www.interoceanventures.com/images/index_01.jpg,"47a, 1st Floor, Om Heera Panna Arcade Oshiwara , Andheri West, Mumbai"
VBD Capital Advisors Private Limited,http://www.vbdcapital.com/,"VBD Capital is founded on the value of entrepreneurship, excellence and integrity. Fairness and transparency are our guiding posts. It caters to corporate and institutional business in high opportunity and fast emerging Indian market and deliver innovative financial and investment solutions. ",http://www.vbdcapital.com/images/testbanner.jpg,"1st Floor, Cama Building 24/26, Dalal Street Next To BSE Building Fort, Mumbai"
Oro Business Advisors Private Limited,http://oroadvisors.com/,ORO Business Advisors Private Limited (ORO) is amongst the fastest growing financial services company in India. ORO is an integrated platform with “Single Point Contact” for Financial and Management Solutions.,http://simg.rcdn.in/images/pages/1983688/oro-business-advisors-private-limited.jpg,"L-151, Dreams Mall, L. B. S. Road, Bhandup West, Mumbai"
Atherstone,http://www.atherstone.in/,"therstone was started with a vision of guiding ambitious Indian companies on their road to success, and helping them fulfill their aspirations.",http://www.atherstone.in/images/logo.jpg,"122 ,12th Floor,A Wing ,Mittal Court,Nariaman Point, Mumbai"
Vision 2025 Capital,http://www.vision2025.in/,"Vision 2025 Capital is a Mumbai, India based Investment Management firm aspired to specialise in Corporate Advisory, Asset Management, Venture Capital & Private Equity and Real Estate & Infrastructure Capital Management firm focused only on India.",http://www.vision2025.in/images/top.jpg,"No. 305, 1st Floor, Raghuleela Mall, Kandivali West, Mumbai"
Karvy Capital,http://www.karvycapital.com/,"Karvy Capital is the Asset Management and Investment Advisory arm of Karvy Group, a 30 year-old diversified financial services conglomerate in India with presence in Stock Broking, Registry Services, NBFC, Debt Services, Commodities Broking, Data Management, Institutional Equities, Investment Banking, amongst others.",http://www.karvycapital.com/images/logo.jpg,"No. 702, Hallmark Business Plaza, Sant Dnyaneshwar Marg Bandra East, Mumbai"
Aarayaa Advisory Services,http://www.aarayaa.com/,Aarayaa is a non-fund based investment bank focusing in the niche area of assisting companies in their investments in and out of India.,http://www.aarayaa.com/images/logo.jpg,"No. 303, Tower A, Peninsula Business Park Ganpatrao Kadam Marg, Lower Parel West, Mumbai"
Sapphire Professional Services Private Limited,http://www.sapphire-pro.co.in/,Sapphire Professional Services Pvt. Ltd. Is a boutique financial advisory services firm headquartered at Mumbai. ,http://www.sapphire-pro.co.in/images/logo.png,"No. 1001-C, 10th Floor, Tower-2, India Bulls Finance Center, Elphinstone West,"
Centbank Financial Services Limited,http://www.cfsl.in/,CentBank Financial Services Ltd. (CFS) is a Premier Investment Bank that provides specialized investment banking products/services to its corporate clients. ,http://www.cfsl.in/images/Logo.jpg,"1st Floor, 15-16 Bajaj Bhawan, Opp. Inox Multiplex, Nariman Point, Mumbai"
Birla Capital And Financial Services Limited,http://www.birlacaps.com/,"Birla Capital & Financial Services Limited, is a full service Investment Banking Company focused on mid market companies, providing the entire gamut of financial services.",http://www.birlacaps.com/images/BFN01.jpg,"Dalamal House, 1st Floor, J. B. Marg, Nariman Point, Mumbai"
Vishesh Capital,http://www.visheshcap.com/,VCPL is an upcoming new generation broking house & one of the fast-growing companies promoted by techno-savvy experienced professionals who have over 100 years collective exposure to stock market since 1990.,http://www.visheshcap.com/images/Logo.gif,"Ground Floor, Gurukripa Building, 518/520, S.V.P Road, Opera House, Mumbai"
Sequoia Capital,https://www.sequoiacap.com/india/,"We are imbued with people who, over many years, have helped build large market-leading companies and enjoyed the experience so much that they decided to join our team.",https://www.sequoiacap.com/assets/sequoia_capital-e598767d8635a115f56a2737270b1e3f.png,"902, Nicholas Piramal Towers Peninsula, Corporate Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai"
Matrix Partners,http://www.matrixpartners.in/,"Since its inception in 1977, Matrix Partners has had the privilege to partner with hundreds of innovators. We have been fortunate to play an active role in the development of many successful businesses, 50 of which went on to initial public offerings, and 75 of which have gone on to profitable M&A events.",http://www.matrixpartners.in/images/home_scroll/inacup_samoa.jpg,"Ceejay House #306, Annie Besant Road, Worli, Mumbai"
Nirvana Ventures,http://www.nirvanaventures.in/,"We make early stage, and early growth investments in the nascent mobile, Internet & Electronic Payment markets in India",http://www.nirvanaventures.in/wp-content/themes/nirvana/images/nirvanaLogo.png,"Nirvana Venture Advisors, The Capital – A / 1106, G Block, BKC, Bandra East, Mumbai"
Mumbai Angels,http://www.mumbaiangels.com/,"Our aim is to invest in and build great companies. In doing so, we hope to benefit a wide variety of stakeholders including founding executives, investors, customers, suppliers, and employees.",http://www.mumbaiangels.com/images/Mumbai_Angels_Logo.png,"201, Turf Estate, Shakti Mill Lane, Off. Dr. E Moses Road, Mahalaxmi West, Mumbai"
Nexus Venture Partners,http://www.nexusvp.com/,"Nexus Venture Partners aspires to team with passionate and driven entrepreneurs. If you plan to address a customer need better than anyone else, and are committed to building market leading companies, please contact us. We focus on opportunities at the early stage.",http://www.nexusvp.com/img/common/logo.png,"Nexus India Capital Advisors Pvt Ltd, G-2, Sarjan Plaza, 100, Dr. Annie Besant Road, Worli, Mumbai"
