name,description,founded,address,industries,categories,image
"Kubera Partners","At Kubera Partners, we help our portfolio companies accelerate their growth and strengthen their competitive position by taking advantage of global opportunities. We are differentiated in many ways,

Past investments: Infotech Enterprises

Current investments: Venture Infotek, Synergies Castings, Adayana Inc, Kejriwal Stationery, Essel Shyam Communication, Ocimum Biosolutions, GSS America Infotech, Spark Capital","","Dr Annie Besant Road, Mumbai, Maharashtra, IND","","Venture Capital","https://s3.amazonaws.com/startupgenome-avatars/organizations/kubera-partners.png"
"2Soft Solutions Pvt Ltd","2Soft Solutions- HR Consulting. IT Recruitment. Staffing Solutions

2Soft Solutions is an HR Consulting, IT Recruitment & Staffing Solutions services providing company having exposure to work in IT/ Software industry and across small, medium & large scale IT/Software organizations.

2Soft Solutions has came into existence, with a vision, to assure a composite domain of skilled professionals. With a sound professional background in the recruitment arena, 2Soft enhanced his expertise in Human Resource Consultancy, IT Recruitment & staffing solutions. 2Soft Solutions provide a platform to fresher & experienced & top level professionals to display their potential in the selection process itself, candidates experience a kind of skill grooming session. 2Soft scrutinizes each candidate’s mindset to suit the needs of our clients.

Our mission:

Our mission is to ensure a sound future for our clients. On a regular

basis, we try to give our best to the clients. Candidate?s chosen

by us are reaping the rich benefits of being deputed on the topmost positions of reputed organizations.

Our Vision:

Our vision is to satisfy the needs of our client in end to end Human

Resource Management. We are building pool of talented people in the organization.

SERVICES:

HR CONSULTING

IT RECRUITMENT

PERMANENT STAFFING

TEMPORARY STAFFING

for more visit http://www.2softsolutions.com



for jobs visit http://www.LetsHire.com

——————————————————–","February 2007","9C, Saiwadi, Near Vijay Hall, Andheri(E), Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/2soft-solutions.png"
"360 Himalaya","Get best Holiday Packages in India with 360 Himalaya tours & travel. We are the largest operator of all inclusive flight holidays across the Himalayan destinations & our buying strength allows us to offer the best priced holidays in the market. Himachal Pradesh Tourism includes Jammu & Kashmir, Ladakh, Himachal Pradesh, Uttarakhand, Sikkim ? Darjeeling, Assam, Arunachal Pradesh, Sikkim-Darjeeling, Nepal, Tibet & Bhutan. ","","09, IJMIMA Complex, Raheja Metroplex, Behind Goregaon Sports Club, Near Infinity Mall (Malad), Link, Malad West, Mumbai ? 400 064. Maharashtra, INDIA., Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/360-himalaya.png"
"4xindia - Forex India","You can now Trade Forex Online with 4xindia - A Forex Trading Company in India. 4xindia provides all the trading tools & forex trading services i.e online forex trading software, forex trading training, forex fund management services, advanced forex course etc that are required for online forex trading!","November 2008","Kandivali West, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/4xindia-forex-india.png"
"A LITTLE WORLD","ALW is the developer of ZERO, Indias first domestic payment system with specific focus on reaching out to masses with lowest available communication infrastructure.","March 2000","#10-11, Shubhada B-Wing, Sir Pochkhanwala Road, Worli, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/a-little-world.png"
"Aaris Internet Solutions Pvt Ltd","Aaris India is one of the fastest growing Search and Social Media Marketing companies in India. The services offered at Aaris are; Search engine Optimization, Pay per Click Management and Social Media Marketing   - Consulting, Training & Execution.

Kaushal Gandhi, the founder,has implemented techniques in its services aim to bring the respective website to a top ranking on Google, improvement in its traffic, positive ROI on its Ads as well as comprehensive promotion on Social Media and Social Networking Websites.


Over the last several years, search marketing has become an integral part of the success of a particular business. This company has dedicated itself to helping these businesses to integrate search marketing into their strategies. ","","The Link, 2nd Floor,, Andheri Link Road, Andheri(w), Mumbai, Maharashtra, IND","Computer Software","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/aaris-internet-solutions-pvt-ltd.png"
"ACME Group","With a rich history comes experience. With this wealth of experience comes knowledge. With this treasure-trove of knowledge comes power. The power to dare, dream, plan and craft luxurious landmarks that raise benchmarks

of excellence.

Ever since our dawn in 1976, we are driven by the belief that excellence isn?t a destination; but a continuing journey, an enduring ambition. And with each day for over the last three decades, we have pursued it passionately & meticulously. In recognition to our uncompromising pursuit of excellence and high standards, we have been conferred with the ISO 9001 : 2000 certification.

Today, we are reaching higher and further than ever. Our road ahead points to new milestones and exciting landmarks in the heart of the city. Among our prestigious residential projects include, Acme Hills (Goregaon E)  Acme Pinnacle(Goregaon, W), Acme Boulevard (Vile Parle, W) and more. Some of our ongoing premium commercial properties gracing prime locations of the city are Acme Solitaire (Goregaon, W), I Tech Park(Andheri, E), Acme Showroom (Juhu), Infos Park (Kandivali, W).","","Acme Ghar,19, K.D.Road,Vile Parle (W), Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/acme-group.png"
"Ad Magnet","Launched in April 2008 (3 years ago), Ad Magnet is the largest Indian digital advertising network, owned and operated by DGTL Media Private Limited.

According to the JUNE 2011 Media Metrix data release by comScore, Inc. (NASDAQ: SCOR), a leader in measuring the digital world, Ad Magnet Network reaches 23 Million Unique Visitors in India giving it an absolute reach of 52.3% of India?s online population. This makes Ad Magnet easily the single largest Indian digital media property at present. 

Including Global digital properties operating in India, Ad Magnet is the 4th largest digital media property in terms of Unique User Reach as measured by comScore.

Only Google, Yahoo and Tribal Fusion are larger than Ad Magnet at the moment.

AD MAGNET is backed by Sequoia Capital, a leading venture capital firm in India whose investments include Applabs, First Source, Cafe Coffee Day, Global Logic, Indiatimes, Travelguru and Shaadi.com. Globally, Sequoia Capital has been an early investor in leading technology and internet companies such as Google, Yahoo, Apple, Oracle, Cisco, Paypal and Youtube.","","1st Floor Kagalwala House,  Metro Estate, 175 CST Road, Kalina, Santacruz(E), Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/ad-magnet.png"
"Adhysteria","Adhysteria.com allows community members to find a house to live in, a job, make new friends who share their interests, get an audience for their upcoming performance, trade anything else that they might want or have to offer or help out someone in need.","September 2007","310, Balarama, Mumbai, Maharashtra, IND","Gaming","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/adhysteria.png"
"Adhysteria.com","Classifieds sites are there a plenty but video classifieds site are very few Google the same and you will what we mean. Studies show your customers remember 10% of what they read, 20% of what they hear and over 50% of what they see and hear. You will sell items faster with video ads. Video ads get a 71% bigger response than simple text ads. Provision of Free Social video classifieds along with the ability to let users view the posts on maps. Users can post classifieds via their mobile phones also. With a few clicks of a mouse, customers can upload their own video commercials, recorded on their camcorders, webcams, digital cameras or camera phones. Ads are organized by category and location, and users can enter text descriptions, prices, thumbnail photos and tags along with their video clips. Now we have the added the main elements of Social networking for end users/advertisers to interact with each other and help in a better browsing experience.

Want to give away something for free, in need of something, want to engage in a barter, want to post your video resumes ,video portfolios ,video reviews, auto descriptions , want to post videos of your products/services and want to give away your luxury goods all this with the power of video. Interact with users and discuss classifieds and create social classifieds communities.

Now, along with thorough product descriptions and up to 3 pictures, users can show off their product even further. The audio/video feature allows all registered members to upload clips of audio and/or video from their computer, which can then be streamed online by other users who are interested in viewing an item or contacting a seller. The goal is to provide the seller an opportunity to give a rich verbal and/or 360? description of their product, showing it from every angle, showcasing the product in use? Telling that special story behind the item and helping to make it stand out amongst the rest. These features are absolutely free and easy to use, providing yet another means to help connect buyers and sellers.

Video auctions add a new dimensions to create a complete selling/promotional tool.

Well the most important thing that keeps us awake is trying to incorporate all the requests made by the users of the site that is the most important thing which will help the site grow. We also try to see how we can be update with technologies and trying to see if incorporating the same would help our end users. Our Founder happened to browse numerous classifieds site for used laptops, so he browsed a lot of them but the problem came when he had to actually see the product which users had only posted images for. He asked the user to send him a video and confirmed on the laptop after seeing the video. The rest is simple decided that there was a serious void in the classifieds market without video so Adhysteria.com was born. Want users to come to our site to full fill that void they see in other sites","October 2007","310 , Balarma, Bandra, Kurla Complex, Bandra East, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/adhysteria-com.png"
